beneficiary,managedAmount,startTime,endTime,periods,revocable,releaseStartTime,vestingCliffTime
0xd4053424bE3E5EF26da0Fd05Da41B5d903fC9394,29253,1684771200,1700672400,1,2,0,0
0x4b0603A10d6e218A75bc78C811EC589e37C7a444,14087.15,1684771200,1700672400,1,2,0,0
0xE6d1ef4059E5b2734a33f47A733833781a32Fd99,23651.25,1684771200,1700672400,1,2,0,0
0x5171F69332764105C4440BB10D18b8b804EA8c09,19370.05,1684771200,1700672400,1,2,0,0
0x68728b5c846CB24b6071e9fd1c3422d448E4f87D,20733.3,1684771200,1700672400,1,2,0,0
0x10Ace979CD91cBdFD6c5B35d788F560Ab6ff7377,37350.6,1684771200,1700672400,1,2,0,0
0xBD8A673B1F8Edcd3494B7734a1b182fD8a0779fB,27828.5,1684771200,1700672400,1,2,0,0
0xE81D5228Af421C6A307c1337b49F16B7CaA7fFAc,21236.25,1684771200,1700672400,1,2,0,0
0x8a529985Af430dA53A9a55476893525AA3Cf91A0,27149.15,1684771200,1700672400,1,2,0,0
0xf5Aed0afB716C73c8d0Bac1764BB575AC7d110FA,3880.1,1684771200,1700672400,1,2,0,0
0x42043217fe07149e5C46FCd3CD8E5b098FA49bE1,6734.7,1684771200,1700672400,1,2,0,0
0xB8C8D5Ca07C82e7E4c73f0cE93E2a7dD08956cb2,4630.5,1684771200,1700672400,1,2,0,0
0xA45d952415bFB965A34835364b45b0A1Cc1F29fB,7709.8,1684771200,1700672400,1,2,0,0
0x6edB12a33d550613BAa04A2408C58f9562F6C5E2,29011.15,1684771200,1700672400,1,2,0,0
0xaB270504787Da2A3543fcdf187DDCA5857Ac740D,25920.3,1684771200,1700672400,1,2,0,0
0x097FA8ABe56d69F95a8Fa9E2c6629275a4767Dcc,13637.4,1684771200,1700672400,1,2,0,0
0x0c8f3E3912F35a59ffddc9Ff1ABB8FafC89b29de,5621.7,1684771200,1700672400,1,2,0,0
0x298523fAA843CA40e83b7934170ca874a4FA1b04,15420.51,1684771200,1700672400,1,2,0,0
0x6232ec3F402102448D6712d51cFC19c7892A2424,15002.4,1684771200,1700672400,1,2,0,0
0x9BD48e08E3444B30113812acd52458b35C33803A,21945,1684771200,1700672400,1,2,0,0
0xa1e5E3C161Bceb944b655364a6848F47c6e93b56,15918,1684771200,1700672400,1,2,0,0
0xE0753F0cAF24DE3be0c86ab6044cd16EAE50c7f7,41052.9,1684771200,1700672400,1,2,0,0
0x349D39812A43D900349e8Cf8685cB18e9feb15b2,47560.8,1684771200,1700672400,1,2,0,0
0xDF8acAF0aC49f509AC08E1c661a7099480c990cA,4368,1684771200,1700672400,1,2,0,0
0x7453019b806919563EaC33870Fe5f8e5154fdF38,6006,1684771200,1700672400,1,2,0,0
0x876b074d21C808889DA18ab0F901EaD76a3D28Ae,1829.1,1684771200,1700672400,1,2,0,0
0x1b7ed0a1cEAe4819DE47D1b1e6Aff41327B45aeA,6552,1684771200,1700672400,1,2,0,0
0x92668bA72601aAe3FEf3A7aAe425489780ECDce2,8326.5,1684771200,1700672400,1,2,0,0
0x3eE2A011a6828d37a3c85062395D15c6484018b4,2730,1684771200,1700672400,1,2,0,0
0x39491f9dB94379AD5F258A7134296e21CF686631,273,1684771200,1700672400,1,2,0,0
0x51A51b84e9f48949589945e3fB6B97216e55a683,12831,1684771200,1700672400,1,2,0,0
0x0c77C848FEbD7CEe88B89E89975a5C45Eaf540dF,3003,1684771200,1700672400,1,2,0,0
0xc075cB4DbBC64983B8c0aA90A0C09e9cEB21f692,6006,1684771200,1700672400,1,2,0,0
0x250302de8C3A0443dffC8E25F5D5d276FF5CDE7f,3276,1684771200,1700672400,1,2,0,0
0x45BF6DAe3B1126fEf37a94E3806f5942DeFD6B77,10237.5,1684771200,1700672400,1,2,0,0
0x2D356311e835a40E59e3555Bd387f511Dcd67306,7098,1684771200,1700672400,1,2,0,0
0xcf6B3f0e803054F03c4FAa5434C2499B49167D5C,6552,1684771200,1700672400,1,2,0,0
0x7b06C5321aceC9F83F82c922a56924d603918112,8872.5,1684771200,1700672400,1,2,0,0
0x88b87f33ea057fAA7a706d3b29110405460f2928,5596.5,1684771200,1700672400,1,2,0,0
0xdF4E2Fe75748200bB6ed1DF171f08000249bb690,2730,1684771200,1700672400,1,2,0,0
0xe868bE65C50b61E81A3fC5cB5A7916090B05eb2A,6552,1684771200,1700672400,1,2,0,0
0x7378bC4eb1598B131355c7Ba363392848Eb9F333,1774.5,1684771200,1700672400,1,2,0,0
0x80F09FC25A07e367Cbe7DFcF41d2aC9705a1802b,2254.98,1684771200,1700672400,1,2,0,0
0x1E3148fFe875A1949437A6cEfC55E915bca99218,10237.5,1684771200,1700672400,1,2,0,0
0xDB7D1C96FCfFd3381E6a8b9F36aCB7AC76Ba1c42,7098,1684771200,1700672400,1,2,0,0
0x780949657226aC92dB302741EfACc6115bEe84ee,2866.5,1684771200,1700672400,1,2,0,0
0x7Cbf87929483EA1d339426Bd6325e150CDC935AD,3549,1684771200,1700672400,1,2,0,0
0xb16Ee2A981Cce4c4c075b2Bd9406d5074dA02727,2730,1684771200,1700672400,1,2,0,0
