Batch,beneficiary,managedAmount,startTime,endTime,periods,revocable,releaseStartTime,vestingCliffTime
2,0xD308Ca482f5c939ff9d88A0b16fc049F033D5810,126619.15,1684771200,1700672400,1,2,0,0
2,0xAcC427Dc8534A33Fa11B9042B891467F98D48290,96771.5,1684771200,1700672400,1,2,0,0
2,0xE4012A6392527d6e24df2B90B56c3fdb3F5598be,50035.3,1684771200,1700672400,1,2,0,0
2,0xE3eA4733324BA0b9E7cee0455b0C676E8A678668,95262.3,1684771200,1700672400,1,2,0,0
2,0x573fE60DaAd999acF3F2975343c88679c73817E4,59628.24,1684771200,1700672400,1,2,0,0
2,0xE3023bF3A199fB46A99A01F8557Cb94E66581698,119376.95,1684771200,1700672400,1,2,0,0
2,0xE2c2b3f4784c6B109D1c3d02FD05db18DA6e9C28,53744.6,1684771200,1700672400,1,2,0,0
2,0x6374212F939D626B72a50D961c82b23E769C7Ad5,4389,1684771200,1700672400,1,2,0,0
2,0x23e5dF7799dF6F0E201aB10483AcFccC2136847c,141055.6,1684771200,1700672400,1,2,0,0
2,0xe05E052C652939eE861d9823A1E42A4af6751a6e,68469.8,1684771200,1700672400,1,2,0,0
2,0xDfD521fF2FaDf24C2e908c4c166CE46f5AcD76AC,97338.85,1684771200,1700672400,1,2,0,0
2,0x394f6c8989cf9690d14867301531aA529efdf53a,94138.8,1684771200,1700672400,1,2,0,0
2,0xdEd4975A4d492F841B910B22575d0553f5D58782,87822.7,1684771200,1700672400,1,2,0,0
2,0xde5f4c921f65BD540A689E8d49C8a13750E55E0B,44710.4,1684771200,1700672400,1,2,0,0
2,0x3Cd031B53A422629044ec4A1a2956dfc33810b74,91423.15,1684771200,1700672400,1,2,0,0
2,0x72727d612CD162c30f84B579662a9bDe34481aE7,7654.92,1684771200,1700672400,1,2,0,0
2,0xbda289ce345D9Ebd1D91505D02C7AA53037d5594,89824,1684771200,1700672400,1,2,0,0
2,0x5cc688704Bd00FaC6e9081cBC011810ADFcCed02,77157.5,1684771200,1700672400,1,2,0,0
2,0xDb075Cd678473dDD6D213DA85c44462F89744342,105449.05,1684771200,1700672400,1,2,0,0
2,0x2C938B6645670D61bf2Bf5E65724a2c7E80244B4,109521.65,1684771200,1700672400,1,2,0,0
2,0xD9ba6bEfdcB57E443C62c5B0D31141d80EFa73Bf,94391.15,1684771200,1700672400,1,2,0,0
2,0xD9459cc85E78e0336aDb349EAbF257Dbaf9d5a2B,6027,1684771200,1700672400,1,2,0,0
2,0xd7c93759a462e87F45ad483e48836b41603250a7,102216.52,1684771200,1700672400,1,2,0,0
2,0xfd1eCD12753e10614734d7B0B7bC0d25C2D1091b,99562.75,1684771200,1700672400,1,2,0,0
2,0x47A4C6e6ADcb15cc8E9b081Cf0c948D3228eEab6,75940.9,1684771200,1700672400,1,2,0,0
2,0x13e9B3ea5159cA4DcCef9dc2907974027d663703,71638.63,1684771200,1700672400,1,2,0,0
2,0xA7ed8019bAf210841Ad7bd05082C90E3a26d993E,100254.7,1684771200,1700672400,1,2,0,0
2,0xd7a4DFe2103D08bc4e26531589Dc774C6e02db5B,130737.25,1684771200,1700672400,1,2,0,0
3,0xd37050335E8cd79Eb759530035ab20317E82ffed,85772.4,1684771200,1700672400,1,2,0,0
3,0xD33B9DC0BE9f3292496670a4B6857a74B8fCA0AB,94411.8,1684771200,1700672400,1,2,0,0
3,0xDf610cac4f59B7Fe823E08db41afd54E091b527A,124167.4,1684771200,1700672400,1,2,0,0
3,0x08b1D2FF60e2eeAA4e0fEa29ca5643Dae7d66a0c,84475.3,1684771200,1700672400,1,2,0,0
3,0xdc7DAeF4D0751a9F6EC28b06d6d9475B13Eb0918,65317,1684771200,1700672400,1,2,0,0
3,0xd114b5934326791859C4964baa458F95C2B3B058,8463,1684771200,1700672400,1,2,0,0
3,0x72A0298D4C377C6399cC7C33D3C960c18B8508Db,71529.85,1684771200,1700672400,1,2,0,0
3,0xd0E4Bd7CbbA8B00f9187f5c953C544368bd88A36,99666.7,1684771200,1700672400,1,2,0,0
3,0xd020196c1De714Fc47B8dfcA85A1bcEFa48edb40,132120.8,1684771200,1700672400,1,2,0,0
3,0xCFD990b8297E7Ff46f8ACEF32Bec516f4395ac6b,80151.68,1684771200,1700672400,1,2,0,0
3,0x0eE8E5dFeA4315fE69a4E0fe84f50CbFce8f1021,6174.7,1684771200,1700672400,1,2,0,0
3,0xCE34E2D460771465ed2632e61fE5C4786c9Ab631,78326.5,1684771200,1700672400,1,2,0,0
3,0xdd61Da2Bfc53BF7FfD16184D76e389A6A2ab3Fc6,15340.5,1684771200,1700672400,1,2,0,0
3,0xcC875D818449Da83DEd1E08AD1B130F05dc2C127,151119.15,1684771200,1700672400,1,2,0,0
3,0xCC749Fbf724Dfea8EB364888F6e98848369a5809,100283.4,1684771200,1700672400,1,2,0,0
3,0xCBCfea96B68b829FA600B6074755445b55a6E724,111676.6,1684771200,1700672400,1,2,0,0
3,0x19C7Cacdff3d9a2ba0De0b26afFB1D61576c9091,142972.9,1684771200,1700672400,1,2,0,0
3,0x61739b1ddCD2780F68F68fEc70855e3dd199cF75,7462,1684771200,1700672400,1,2,0,0
3,0x1B2c8DaA69f8fF780c0A154fC18629aA0C230a02,103126.1,1684771200,1700672400,1,2,0,0
3,0xc8102C2354C9e0915e3E3Cb4480E0aFA08EFEf61,88268.6,1684771200,1700672400,1,2,0,0
3,0xC7C3c9586a10E4B40373F2F2f223b3A3c04CC6c6,37545.9,1684771200,1700672400,1,2,0,0
3,0xC7A45735797e0941fa264BA31Ad5b1BC72ecDB91,121549.05,1684771200,1700672400,1,2,0,0
3,0xc77b9A2aA1b2d42c4785086ebceE45e62b4a7972,103766.6,1684771200,1700672400,1,2,0,0
3,0xD722A5c2965257Dd68eCd31E2Aa12B6a53EF1a9a,37605.4,1684771200,1700672400,1,2,0,0
3,0x512832e4b2946e255bd02e2031Bb984C69726914,99082.2,1684771200,1700672400,1,2,0,0
3,0xc748b33892d6043d74be809b92a589F49700B6d7,138225.85,1684771200,1700672400,1,2,0,0
3,0x7d6770446E72201D56F5ED355434E86202207923,129486.7,1684771200,1700672400,1,2,0,0
