beneficiary,managedAmount,startTime,endTime,periods,revocable,releaseStartTime,vestingCliffTime
0x2cAF9ee04Df3E0B576e0c67355b70bdC247D5f9c,134505.49,1684771200,1700672400,1,2,0,0
0xc006Cf35503b581cF555fCdB216116B9994eaf39,110084.45,1684771200,1700672400,1,2,0,0
0xf1007E6F8933E5A81F8eE744388CA2d5Dd468108,92842.05,1684771200,1700672400,1,2,0,0
0xD1295aDb4Bad3676bF1A9bC79588fD20f3cD113A,14431.9,1684771200,1700672400,1,2,0,0
0x87614f268e445de76295b9fa6594A6D356C10293,95829.3,1684771200,1700672400,1,2,0,0
0x2d8a766467644E462c1Ae2ea416fef3770b3bc01,103788.3,1684771200,1700672400,1,2,0,0
0x104f1FB0D339B571E45dF9779B12977a8200bB98,70076.3,1684771200,1700672400,1,2,0,0
0xeD7c67cbCf0E0e57F66d5938a4278fCe3f003C0F,84030.8,1684771200,1700672400,1,2,0,0
0x756Bd2B7F1eDE5C98EC0E2377c7B24D122Eb5A81,72975,1684771200,1700672400,1,2,0,0
0x5d463bf79ac904284f2AA5D20E29375f6E541E2A,84398.65,1684771200,1700672400,1,2,0,0
0x74Ef377a9088F6C015258481FB698a317cF1AA48,116148.2,1684771200,1700672400,1,2,0,0
0x1aE3041A791b6DA149B1df9eA4A81158FB7dEa67,38122,1684771200,1700672400,1,2,0,0
0xA9429234A5618DdB65966F1FBDddEa9ba4E36117,117910.1,1684771200,1700672400,1,2,0,0
0x0135e17621dBF2DB1f6CeC76F60841Bc0a2D6fE7,131303.2,1684771200,1700672400,1,2,0,0
0xB42E4D735fE558a213Dfc8a5b935469B86F76c96,95270.35,1684771200,1700672400,1,2,0,0
0xe338631B024AFcc15aAD7c987cdA6AA09bd50Ad0,41105.4,1684771200,1700672400,1,2,0,0
0x665e4BC3571ebf27ea282fa4b2bE995501eC883C,87010.7,1684771200,1700672400,1,2,0,0
0x4Bd57E1770898bE996A42F6e8FF56b6412b5129f,24891.3,1684771200,1700672400,1,2,0,0
0x91Cfa5CEC080B91FcbE3f38192Ab4f9606534232,77697.9,1684771200,1700672400,1,2,0,0
0x0ccdECB2BB53ef352c2501DF58586F5865467f43,47397,1684771200,1700672400,1,2,0,0
0x5eB3EcE8e69dd56Ca8DDD065584B147Ea6436aCC,114511.6,1684771200,1700672400,1,2,0,0
0x269EBeee083CE6f70486a67dC8036A889bF322A9,93515.8,1684771200,1700672400,1,2,0,0
0xc41b384A93d1748cCc1F68dF3Dd84468c03b5C9c,112323.4,1684771200,1700672400,1,2,0,0
0x1BB2F039340A5f0f80e1005F8Ffb0369b3178BB0,94778.6,1684771200,1700672400,1,2,0,0
0xb8950c47E8B9e539601cB47A167DE8bf4Cb1289E,71696.8,1684771200,1700672400,1,2,0,0
0x28D5ed462246EeEbD2CA1ffc9E9f097E9AC9Af9D,105804.65,1684771200,1700672400,1,2,0,0
0xA930bF82635cD645f997f48f2402446D1143CCaC,101564.75,1684771200,1700672400,1,2,0,0
0x0688E86D628d6EBA92248992B7083D19Bb96bB9f,131397,1684771200,1700672400,1,2,0,0
0x5a654537db40Aa7B95966549244f57a11e235939,87257.8,1684771200,1700672400,1,2,0,0
0x29F731573b3acBd22A7C6023d9e3CC8EC758de42,108739.75,1684771200,1700672400,1,2,0,0
0xFeff9093f6b32d0e5CDDBa743b06a1FeDB87C004,82172.3,1684771200,1700672400,1,2,0,0
0xD014ecEca654d91c93e8Fe40e1F2F3Fd0c0b450e,81396.35,1684771200,1700672400,1,2,0,0
0x8b4C16217E15344e7e0073e8A72c00e434853325,101657.5,1684771200,1700672400,1,2,0,0
0x0Ee85C30ff1797D9F041261B88c4A58d6D68fBBf,66392.9,1684771200,1700672400,1,2,0,0
0x910992CDA167Fc17643C45c8b3FEB826434c7a02,133197.4,1684771200,1700672400,1,2,0,0
0x4527F5A129f3Ab7c88c5863F8AB9a708928Fe702,112485.8,1684771200,1700672400,1,2,0,0
0xf9AD5D227482e5730FbF582D137324D1db6e4869,84091.35,1684771200,1700672400,1,2,0,0
0xf72dE85e689D9b71318752EC518e86D28f66D531,130560.15,1684771200,1700672400,1,2,0,0
0x5c508Fa014A712ECB3Ef1728434C763f394cb97F,112313.95,1684771200,1700672400,1,2,0,0
0xA40959C40aA65C530d510cC8fb3204d1BA13997A,50920.1,1684771200,1700672400,1,2,0,0
0xc714A41B2C5064bebcB879b8ed367717838F4797,117784.8,1684771200,1700672400,1,2,0,0
0xf0E33495aFE697dbE32168bD0743ba32eBB978a3,72566.2,1684771200,1700672400,1,2,0,0
0xdc640590bEAde175F78071FdF1CfF8BCb0540626,70704.9,1684771200,1700672400,1,2,0,0
0xEDDd4EC5d3775de964416b7b9d4DA885F530f90a,27481.3,1684771200,1700672400,1,2,0,0
