beneficiary,managedAmount,startTime,endTime,periods,revocable,releaseStartTime,vestingCliffTime,contractAddress,salt,tx
0x0F6Feb3BA20c56E94CfbCD98339E99bcE629D912,1000000.0,1607460840,1611621739,1,1,0,0,0xcDB2B6b907896B059CC7b897f8aaF4f988228B74,0x5e3a9ae8b08647d389172e0b11ec10520d30acd11d7f4f2d0d3f8e1de6f16f94,0x6c634992aa4ff8735c8b63c9c0f95ca58d081de39a420f831ac4c424aaf8fe91
0xbeb1faa6e7e39c7d9bdab03a7a362fe9d73d7c61,1000000.0,1607460840,1611621739,1,1,0,0,0xfC8D69694b94E241afFeDB9c5AD70A30EceA805c,0x2881b9837eeb45f31d1c984b9b3b96340bdff55a27bdc8cef9e9d6aefc55935c,0xf5873e8bfd4fc3380084e8d73552c563528abfdf424818c2b675f93c26d43abd
0x93606b27cb5e4c780883ec4f6b7bed5f6572d1dd,1000000.0,1607460840,1611621739,1,1,0,0,0x4236878343D286A2943453E045dA46e86d12138D,0x3f2096500f852dd1c91c9262842773ff4222b02f9455dffe67336f587565d666,0x96cda93b5224e3949480d6a48347462593591081c8af3f4c103b50ce3091fc57
