beneficiary,managedAmount,startTime,endTime,periods,revocable,releaseStartTime,vestingCliffTime
0x398bc98509CFc8Dd629607e51a29B4F844E5F90c,133457.8,1684771200,1700672400,1,2,0,0
0x068Cb87542736B049872B4Ef9ed7Ac9d07F31b41,28736.75,1684771200,1700672400,1,2,0,0
0x35F680599667bc92feF799C4B5Fc852e669929ad,118054.3,1684771200,1700672400,1,2,0,0
0x8F9c391B76CCdEd2106B4aF6fF9955a8653AAd8d,139102.6,1684771200,1700672400,1,2,0,0
0x345AB555BC92f046a0E20b2b5db884658e2824eA,120615.25,1684771200,1700672400,1,2,0,0
0x2ebEfb55CdA8c4c8171ddDf933E4c371086d7e89,48701.8,1684771200,1700672400,1,2,0,0
0x11a40C7E726e9b0a36762fF6C828dFA8505b51F1,117370.75,1684771200,1700672400,1,2,0,0
0x33AE029Da1e5654Ea5a13558f431D7E242ab6C88,105967.4,1684771200,1700672400,1,2,0,0
0x337b9A57187D7C80A7BA8F773512403a0EDcc14B,124705.35,1684771200,1700672400,1,2,0,0
0x0804389eD266B9Aa8c0D40831a5e7930d2180F7c,115936.45,1684771200,1700672400,1,2,0,0
0x787309A673ae0800BcD072DA7F258AdEFa3DEE65,42128.8,1684771200,1700672400,1,2,0,0
0x59bb0EaB47834e814AE8E3718B59E4A275a2F33b,127311.1,1684771200,1700672400,1,2,0,0
0x2F436140F505961cb63c8D327a7B281fC6000000,101951.85,1684771200,1700672400,1,2,0,0
0x9ee6999aeB0B38ec64029b19234b6E0b694B8931,118720,1684771200,1700672400,1,2,0,0
0x7cFad1Da21Ba2C1F256E67339300a2ec1b805EED,122822.35,1684771200,1700672400,1,2,0,0
0x29ED191612485ED6c73144dD14DBFab5BF96e4Ff,113704.15,1684771200,1700672400,1,2,0,0
0x29Ea3B83bAE44E774dcf4181dbE1D5687cF2775e,82740.7,1684771200,1700672400,1,2,0,0
0x006661814499FE0779FF46ee5d9d40A2c74eFA78,127909.6,1684771200,1700672400,1,2,0,0
0xBE211C00d18eBd99E1d0250114D460929658Fe34,115121.65,1684771200,1700672400,1,2,0,0
0x14e8C9537e9aE5197f87cBf93998EbE8CDC74759,149271.5,1684771200,1700672400,1,2,0,0
0x87d3Bcdbe54F3C3A65266E88B5C084110896C472,105944.65,1684771200,1700672400,1,2,0,0
0x69c9269220e7BC51C5128c2201DeaA7C700293cB,9782.5,1684771200,1700672400,1,2,0,0
0x01AD6182055DaEa73b5Bb4CD20d9b37DC53982BD,85440.95,1684771200,1700672400,1,2,0,0
